place_id,channel_id,place_name,channel_name,place_size,boost,country,geo_lat,geo_lon
KmVC2vZS,la-voz-del-pacifico-sur-fm-102-3,Santa María Huatulco,La Voz del Pacifico Sur FM 102.3,1,false,Mexico,15.834007,-96.31995
lU0M4CKN,halcones-itca-radio,Cerro Azul,Halcones ITCA Radio,1,false,Mexico,21.18439,-97.7471
ax8wBKCY,queseria-radio,Quesería,Queseria Radio,1,false,Mexico,19.386408,-103.571625
h2JonOnc,publimacro,Progreso,Publimacro,1,false,Mexico,21.28119,-89.66516
-GDYth6_,la-revolucionaria-fm-88-9,Izúcar de Matamoros,La Revolucionaria FM 88.9,1,false,Mexico,18.599125,-98.46779
_qpsmYeN,radio-la-destructora,Ciudad Altamirano,Radio La Destructora,1,false,Mexico,18.357815,-100.668625
0wqiLBHl,la-supersonica,Vicente Guerrero,La SuperSonica,1,false,Mexico,23.732008,-103.98333
F296vVMO,radio-tucker,Tucker GA,Radio Tucker,1,false,United States,33.85455,-84.21714
I9k_3New,mexiquense-radio-88-5-fm,Zumpango,Mexiquense Radio 88.5 FM,1,false,Mexico,19.80393,-99.093056
4cRJcGb5,neon-radio-fm-93-5,San Martín de las Pirámides,Neon Radio FM 93.5,1,false,Mexico,19.704346,-98.834724
S3FhoPbF,-90-5-wkhs,Worton MD,90.5 WKHS Student Public Radio,1,false,United States,39.274555,-76.09217
S7H8SqEe,radio-jerez-89-1-fm,Jerez de García Salinas,Radio Jerez FM 89.1 - XHXM,1,false,Mexico,22.646875,-102.987625
NhPq3hcq,wiggle-100-whgl-fm,Troy PA,Wiggle 100 - WHGL-FM,1,false,United States,41.785908,-76.78801
FG6uLaHL,stereo-mision,Motozintla de Mendoza,Stereo Mision,1,false,Mexico,15.369198,-92.24581
NCQL5MH4,kstk,Wrangell AK,KSTK-FM 101.7,1,false,United States,56.470833,-132.37666
QHAZvj8i,la-sabrosita-fm-106-7,Múzquiz,La Sabrosita FM 106.7,1,false,Mexico,27.88224,-101.514
XxPHUR21,crystal-104-9-fm,Tenancingo,Crystal 104.9 FM,1,false,Mexico,18.96134,-99.59107
0H75X7UO,radio-universidad-autonoma-chapingo,Texcoco,Radio Universidad Autonoma Chapingo,1,false,Mexico,19.489544,-98.89418
B3LN8hru,la-z-fm-105-5,Atotonilco El Alto,La Z FM 105.5,1,false,Mexico,20.550245,-102.508125
oQlF7FDK,san-blas-atempa-100-1-fm,San Blas Atempa,San Blas Atempa 100.1 FM,1,false,Mexico,16.329626,-95.22538
Uxsr9qL6,wdlq-radio-panama,Boquete,WDLQ Radio Panama,1,false,Panama,8.777232,-82.4482
Z-ieZjgW,nostalgia-y-vainillas,Mulegé,Nostalgia y Vainillas,1,false,Mexico,26.892216,-111.98358
0Duu13zC,la-huarecita,Cherán,La Huarecita,1,false,Mexico,19.687738,-101.95478
2b0CeyBl,3abn,West Frankfort IL,KEUR-LP 3ABN,1,false,United States,37.898598,-88.92336
mFZ93Nq8,radio-la-otra,San Patricio,Radio La Otra,1,false,Mexico,19.225199,-104.70397
mfJuPv8D,asuncion-fm-98-1,Asunción Nochixtlán,Asunción FM 98.1,1,false,Mexico,17.460686,-97.22753
BhFALWU4,radyo-a-101-7,Eskişehir,Radyo A 101.7,3,false,Turkey,39.766705,30.52563
BhFALWU4,radyo-ses-98-9,Eskişehir,Radyo Ses FM 98.9,3,false,Turkey,39.766705,30.52563
BhFALWU4,yunus-fm-94-0,Eskişehir,Yunus FM 94.0,3,false,Turkey,39.766705,30.52563
6lcXHtKK,radio-80s80s,Berlin,80s80s,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-bowie,Berlin,80s80s - Bowie,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-christmas,Berlin,80s80s - Christmas,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-depeche-mode,Berlin,80s80s - Depeche Mode,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-deutsch,Berlin,80s80s - Deutsch,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-hip-hop,Berlin,80s80s - Hip Hop,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-in-the-mix,Berlin,80s80s - In The Mix,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-italo-hits,Berlin,80s80s - Italo Hits,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-jackson,Berlin,80s80s - Jackson,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-livemusic,Berlin,80s80s - Livemusic,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-love,Berlin,80s80s - Love,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-maxis,Berlin,80s80s - Maxis,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-ndw,Berlin,80s80s - NDW,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-neo,Berlin,80s80s - NEO,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-partyhits,Berlin,80s80s - Partyhits,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-prince,Berlin,80s80s - Prince,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-queen,Berlin,80s80s - Queen,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-rock,Berlin,80s80s - Rock,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-soul,Berlin,80s80s - Soul,136,false,Germany,52.520008,13.404954
6lcXHtKK,80s80s-summerhits,Berlin,80s80s - Summerhits,136,false,Germany,52.520008,13.404954
6lcXHtKK,radio-80s80s-wave,Berlin,80s80s - Wave,136,false,Germany,52.520008,13.404954
6lcXHtKK,88-4-m-hz-berlin,Berlin,88.4 MHz Berlin,136,false,Germany,52.520008,13.404954
6lcXHtKK,90s90s-boygroups,Berlin,90s90s - Boygroups,136,false,Germany,52.520008,13.404954
6lcXHtKK,90s90s-clubhits,Berlin,90s90s - Clubhits,136,false,Germany,52.520008,13.404954
